order_id,customer_id,product,quantity,price,order_date,store_location
1001,CUST001,Laptop,1,899.99,2024-01-15,New York
1002,CUST002,Smartphone,2,699.50,2024-01-16,Los Angeles
1003,CUST003,Tablet,1,349.99,2024-01-17,Chicago
1004,CUST001,Headphones,3,89.99,2024-01-18,New York
1005,CUST004,Smartwatch,1,249.99,2024-01-19,Houston
1006,CUST002,Laptop,1,899.99,2024-01-20,Los Angeles
1007,CUST005,Tablet,2,349.99,2024-01-21,Phoenix
1008,CUST003,Smartphone,1,699.50,2024-01-22,Chicago
1009,CUST006,Headphones,2,89.99,2024-01-23,Philadelphia
1010,CUST001,Smartwatch,1,249.99,2024-01-24,New York
1011,CUST007,Laptop,1,899.99,2024-01-25,San Antonio
1012,CUST004,Tablet,1,349.99,2024-01-26,Houston
1013,CUST008,Smartphone,3,699.50,2024-01-27,San Diego
1014,CUST002,Headphones,1,89.99,2024-01-28,Los Angeles
1015,CUST005,Smartwatch,2,249.99,2024-01-29,Phoenix
1016,CUST009,Laptop,1,899.99,2024-01-30,Dallas
1017,CUST003,Tablet,1,349.99,2024-01-31,Chicago
1018,CUST001,Smartphone,1,699.50,2024-02-01,New York
1019,CUST010,Headphones,4,89.99,2024-02-02,San Jose
1020,CUST006,Smartwatch,1,249.99,2024-02-03,Philadelphia
1021,CUST002,Tablet,1,349.99,2024-02-04,Los Angeles
1022,CUST011,Laptop,2,899.99,2024-02-05,Austin
1023,CUST004,Smartphone,1,699.50,2024-02-06,Houston
1024,CUST007,Headphones,2,89.99,2024-02-07,San Antonio
1025,CUST008,Smartwatch,1,249.99,2024-02-08,San Diego
1026,CUST001,Tablet,1,349.99,2024-02-09,New York
1027,CUST012,Laptop,1,899.99,2024-02-10,Jacksonville
1028,CUST005,Smartphone,2,699.50,2024-02-11,Phoenix
1029,CUST009,Headphones,1,89.99,2024-02-12,Dallas
1030,CUST003,Smartwatch,1,249.99,2024-02-13,Chicago
1031,CUST010,Tablet,3,349.99,2024-02-14,San Jose
1032,CUST002,Laptop,1,899.99,2024-02-15,Los Angeles
1033,CUST013,Smartphone,1,699.50,2024-02-16,Fort Worth
1034,CUST004,Headphones,3,89.99,2024-02-17,Houston
1035,CUST001,Smartwatch,2,249.99,2024-02-18,New York
1036,CUST011,Tablet,1,349.99,2024-02-19,Austin
1037,CUST006,Laptop,1,899.99,2024-02-20,Philadelphia
1038,CUST014,Smartphone,1,699.50,2024-02-21,Columbus
1039,CUST008,Headphones,2,89.99,2024-02-22,San Diego
1040,CUST005,Smartwatch,1,249.99,2024-02-23,Phoenix
1041,CUST009,Tablet,1,349.99,2024-02-24,Dallas
1042,CUST001,Laptop,1,899.99,2024-02-25,New York
1043,CUST015,Smartphone,2,699.50,2024-02-26,Charlotte
1044,CUST002,Headphones,1,89.99,2024-02-27,Los Angeles
1045,CUST010,Smartwatch,1,249.99,2024-02-28,San Jose
1046,CUST003,Tablet,2,349.99,2024-02-29,Chicago
1047,CUST012,Laptop,1,899.99,2024-03-01,Jacksonville
1048,CUST004,Smartphone,1,699.50,2024-03-02,Houston
1049,CUST007,Headphones,3,89.99,2024-03-03,San Antonio
1050,CUST001,Smartwatch,1,249.99,2024-03-04,New York
